id,batch,filename,original_name,width,height,sha256,duplicate_of,decision,identity,notes
parte-02-001,parte-02,001-herois-em-acao-no-campo-de-batalha.png,3DeT Victory/Heróis em ação no campo de batalha.png,1536,1024,f49290f547bee54d77a2f901950446fc695109750b51c56634b23f57944620ab,,lixo,,
parte-02-002,parte-02,002-herois-em-cidade-futurista-e-magica.png,3DeT Victory/Heróis em cidade futurista e mágica.png,1672,941,54ff4986205a872ee6836c4d34b71e665ede1a69f3fd2d4cc69f284ab8bdfd0e,,lixo,,
parte-02-003,parte-02,003-herois-em-formacao-dramatica.png,3DeT Victory/Heróis em formação dramática.png,1024,1536,9ac839d74cfeba5330f5a408b6b5cc8c8f662509998276f2d5f41606ce016a0e,,lixo,,
parte-02-004,parte-02,004-herois-em-formacao-poderosa.png,3DeT Victory/Heróis em formação poderosa.png,1024,1536,8329117834b6f7705d7b2a2658683d2dae2f7093d97a798960bd1fb9ebbaa916,,lixo,,
parte-02-005,parte-02,005-modelo-colossal-do-eclipse.png,3DeT Victory/Modelo colossal do eclipse.png,1122,1402,b82215f6286dd21e2a1436aad13e9b8569f56b181d48abf44ee0c362727d3e29,,lixo,,
parte-02-006,parte-02,006-monstro-do-eclipse-cosmico.png,3DeT Victory/Monstro do Eclipse Cósmico.png,1122,1402,02d54b05f5685f307e41e501b8774bc17cc5c2d5d5e8af781046211bc7dfe583,,aprovar,Eclipse,
parte-02-007,parte-02,007-retrato-de-homem-em-cenario-magico.png,3DeT Victory/Retrato de homem em cenário mágico.png,1024,1536,8ba90f86bf89d73be29dd0def1f5d8965c07222a50f5c6c127b526edec71455d,,aprovar,Tomás Valença,
parte-02-008,parte-02,008-simbiontes-e-magia-antiga.png,3DeT Victory/Simbiontes e Magia Antiga.png,1536,1024,177b5e5e6d81e1f86262b15442db1874690fbb0e909926afa37a47df95685a71,,lixo,,
parte-02-009,parte-02,009-tenentes-cosmicos-dossie-dos-quatro-especialistas.png,3DeT Victory/Tenentes cósmicos: dossiê dos quatro especialistas.png,1672,941,adbfc777b2405a1bfc7a6f7e6959df123ef78f5d79ebfcbd256d3e7ed4ab5eb1,,lixo,,
parte-02-010,parte-02,010-treinador-atlas-impacto-e-disciplina.png,3DeT Victory/Treinador Atlas: Impacto e Disciplina.png,1024,1536,16dbbd698ee22300310db4d09234b7661692c939415a41a643e73492d862f5c6,,aprovar,Caio Ventura — Impacto,
parte-02-011,parte-02,011-vanguarda-herois-da-linha-de-frente.png,3DeT Victory/Vanguarda: heróis da linha de frente.png,1024,1536,011592fb1b57ad9aee3229f2329ce4ebf6f0d939efafd5d0321247340d47d595,,lixo,,
parte-02-012,parte-02,012-vanguarda-herois-da-nova-era.png,3DeT Victory/Vanguarda: heróis da nova era.png,1536,1024,dcd29d45e8822ae12fa4ec58ee4733d92bf1a1ee67caeac684b60432dff33c1d,,lixo,,
parte-02-013,parte-02,013-vanguarda-jovens-extraordinarios-herois.png,3DeT Victory/Vanguarda: jovens extraordinários heróis.png,1086,1448,0a22a33306d454e762e54df71e3f77f4bf41131d5c96ffb2f90bff7af7755758,,lixo,,
parte-02-014,parte-02,014-vanguarda-o-time-heroico-em-acao.png,3DeT Victory/Vanguarda: o time heroico em ação.png,1024,1536,77f3958a3b8ce88ebf146890f43b632a6d31de95376a82a9a3fe72fa67ca4164,,lixo,,
parte-02-015,parte-02,015-vanguarda-os-jovens-herois.png,3DeT Victory/Vanguarda: Os Jovens Heróis.png,1024,1536,ea580a3ebfff3574222c1fef30cca432e2204dc3a7474969881a1295a2a39fc1,,lixo,,
parte-03-001,parte-03,001-arquiteto.png,3DeT Victory/arquiteto.png,1024,1536,2e6282a8eba8bf5ba4da1bdac6f500b931c9fb8b561f78b431859a74c6826eca,,aprovar,Arquiteto,
parte-03-002,parte-03,002-custodio.png,3DeT Victory/custodio.png,1122,1402,b20aea29fe50b891312cdd50f8bbb7d80186a625451d2c7238038c00bb6203ea,,aprovar,Custódio,
parte-03-003,parte-03,003-image-gen-1-1.png,3DeT Victory/image-gen-1(1).png,1024,1536,c525b08fea2851b1d815f49b3c01f772af20ec8cf6b3cbf53f572e2b1bf39f21,,lixo,,
parte-03-004,parte-03,004-image-gen-1-2.png,3DeT Victory/image-gen-1(2).png,1024,1536,c0f2a2b01af08556251811969aecd4086a04a65792be39e97710e921bb8f738c,,lixo,,
parte-03-005,parte-03,005-image-gen-1-10.png,3DeT Victory/image-gen-1(10).png,1086,1448,024e5192be02595e54dc47a00ad38e3b22b59040a0cfbdbf4023acc4146fffb5,,aprovar,Rei do Véu,
